prompt_method,input_file,natural_language,sql,type,answer,claude_response,claude_query_result,pass
original_prompt,ground_truth_data,How many teams are in the NBA?,SELECT COUNT(*) as team_count FROM team LIMIT 1,counting,[[30]],"To answer this question in SQL, I would query the total count of teams in an NBA teams table:

```sql
SELECT COUNT(*) AS total_teams
FROM nba_teams;
```

This query assumes there's a table called `nba_teams` that contains all NBA teams. It counts all rows in the table to determine the total number of teams in the NBA.",,False
original_prompt,ground_truth_data,What are the 5 oldest teams in the NBA?,SELECT full_name FROM team ORDER BY year_founded ASC LIMIT 5,ranking,"[['Boston Celtics'], ['Golden State Warriors'], ['New York Knicks'], ['Los Angeles Lakers'], ['Sacramento Kings']]","```sql
SELECT team_name, year_founded
FROM teams
WHERE league = 'NBA'
ORDER BY year_founded ASC
LIMIT 5;
```

This SQL query:
1. Selects the team name and founding year from the teams table
2. Filters for only NBA teams
3. Orders the results by founding year in ascending order (oldest first)
4. Limits the results to the top 5 teams",,False
original_prompt,ground_truth_data,List all teams from California,SELECT full_name FROM team WHERE state = 'California',filtering,"[['Golden State Warriors'], ['Los Angeles Clippers'], ['Los Angeles Lakers'], ['Sacramento Kings']]","```sql
SELECT *
FROM teams
WHERE state = 'California';
```",,False
original_prompt,ground_truth_data,What's the total number of games played?,SELECT COUNT(DISTINCT game_id) as total_games FROM game LIMIT 1,counting,[[65642]],"```sql
SELECT COUNT(*) AS total_games_played
FROM games;
```

This SQL query counts all rows in the `games` table, assuming each row represents a single game that was played. The result is labeled as ""total_games_played"".",,False
original_prompt,ground_truth_data,What's the highest scoring game?,SELECT g.pts_home + g.pts_away as total_points FROM game g ORDER BY total_points DESC LIMIT 1,ranking,[[374.0]],"To convert this question to SQL, I need to make some assumptions about the database structure. I'll assume there's a table called ""games"" with columns for game ID, teams involved, and scores.

```sql
SELECT *
FROM games
ORDER BY score DESC
LIMIT 1;
```

If the scores are stored as separate columns for each team (like home_score and away_score), the query might look like:

```sql
SELECT *
FROM games
ORDER BY (home_score + away_score) DESC
LIMIT 1;
```

If you need the query adjusted for your specific database schema, please provide more details about your table structure.",,False
original_prompt,ground_truth_data,How many players are from Duke University?,SELECT COUNT(*) as player_count FROM draft_history WHERE organization = 'Duke University' LIMIT 1,counting,[[0]],"To convert this question to SQL, I need to create a query that counts players who are from Duke University. This assumes there's a table with player information including their university or college affiliation.

```sql
SELECT COUNT(*) AS duke_player_count
FROM players
WHERE college = 'Duke University';
```

This query:
1. Counts all rows (COUNT(*))
2. Filters for only players from Duke University
3. Returns the result as 'duke_player_count'

Note: The actual table name might be different in your database (could be ""athletes"", ""student_athletes"", etc.) and the column name for university might also vary (could be ""university"", ""school"", etc.).",,False
original_prompt,ground_truth_data,Which team has the most home games?,"SELECT t.full_name FROM game g JOIN team t ON g.team_id_home = t.id GROUP BY t.id, t.full_name ORDER BY COUNT(*) DESC LIMIT 1",ranking,[['Boston Celtics']],"To convert this question to SQL, I need to write a query that counts the number of home games for each team and returns the team with the highest count.

```sql
SELECT home_team, COUNT(*) AS home_game_count
FROM games
GROUP BY home_team
ORDER BY home_game_count DESC
LIMIT 1;
```

This query assumes:
1. There's a table called ""games"" containing match data
2. The column ""home_team"" identifies which team played at home
3. We're counting occurrences of each home team
4. Ordering by the count in descending order
5. Limiting to just the top result (the team with the most home games)",,False
original_prompt,ground_truth_data,What's the average points per game?,"SELECT ROUND(AVG(pts_home + pts_away) / 2, 2) as avg_points FROM game LIMIT 1",aggregation,[[102.81]],"To convert this question to SQL, I need to create a query that calculates the average points per game.

```sql
SELECT AVG(points) AS average_points_per_game
FROM games;
```

This query assumes:
- There's a table named ""games""
- The table has a column named ""points"" that stores the points scored in each game

If your database structure is different, the query would need to be adjusted accordingly. For example, if points are stored in a different table or column, or if you need to calculate points from other metrics.",,False
original_prompt,ground_truth_data,List all players from Spain,"SELECT first_name, last_name FROM common_player_info WHERE country = 'Spain'",filtering,"[['Alex', 'Abrines'], ['Santi', 'Aldama'], ['Jose', 'Calderon'], ['Victor', 'Claver'], ['Rudy', 'Fernandez'], ['Jorge', 'Garbajosa'], ['Raul', 'Lopez'], ['Fernando', 'Martin'], ['Juan Carlos', 'Navarro'], ['Sergio', 'Rodriguez'], ['Ricky', 'Rubio']]","```sql
SELECT *
FROM players
WHERE country = 'Spain';
```",,False
original_prompt,ground_truth_data,How many games went to overtime?,SELECT COUNT(*) as ot_games FROM line_score WHERE pts_ot1_home IS NOT NULL LIMIT 1,counting,[[32294]],"To find out how many games went to overtime, I'll create an SQL query that counts games with overtime status.

```sql
SELECT COUNT(*) AS games_in_overtime
FROM games
WHERE overtime = TRUE;
```

This query assumes:
1. There's a table called ""games"" that stores game information
2. There's a boolean column called ""overtime"" that indicates whether a game went to overtime

If the overtime status is stored differently in your database (such as a text field with ""Yes""/""No"" or a numeric indicator), you would need to adjust the WHERE condition accordingly.",,False
original_prompt,ground_truth_data,What's the most common jersey number?,SELECT jersey FROM common_player_info WHERE jersey != '' GROUP BY jersey ORDER BY COUNT(*) DESC LIMIT 1,ranking,[['12']],"To convert this question to SQL, I need to write a query that finds the most frequently used jersey number in a database.

```sql
SELECT jersey_number, COUNT(*) AS frequency
FROM players
GROUP BY jersey_number
ORDER BY frequency DESC
LIMIT 1;
```

This SQL query:
1. Selects the jersey number and counts its occurrences
2. Groups the results by jersey number
3. Orders the results by frequency in descending order
4. Limits the result to just the top 1 (the most common)

Note: This assumes there's a table called ""players"" with a column called ""jersey_number"". You may need to adjust the table and column names to match your actual database schema.",,False
original_prompt,ground_truth_data,List all teams in the Eastern Conference,"SELECT full_name FROM team WHERE city IN ('Boston', 'Brooklyn', 'New York', 'Philadelphia', 'Toronto', 'Chicago', 'Cleveland', 'Detroit', 'Indiana', 'Milwaukee', 'Atlanta', 'Charlotte', 'Miami', 'Orlando', 'Washington')",filtering,"[['Atlanta Hawks'], ['Boston Celtics'], ['Cleveland Cavaliers'], ['Chicago Bulls'], ['Miami Heat'], ['Milwaukee Bucks'], ['Brooklyn Nets'], ['New York Knicks'], ['Orlando Magic'], ['Indiana Pacers'], ['Philadelphia 76ers'], ['Toronto Raptors'], ['Washington Wizards'], ['Detroit Pistons'], ['Charlotte Hornets']]","```sql
SELECT * FROM teams WHERE conference = 'Eastern';
```",,False
original_prompt,ground_truth_data,What's the average height of NBA players?,"SELECT ROUND(AVG(CAST(SUBSTR(height, 1, INSTR(height, '-')-1) AS FLOAT)), 2) as avg_height FROM common_player_info WHERE height != '' LIMIT 1",aggregation,[[6.03]],"```sql
SELECT AVG(height) AS average_height
FROM players
WHERE league = 'NBA';
```

This SQL query calculates the average height of all NBA players in the database. It assumes there is a table called ""players"" with columns for ""height"" and ""league"", where the league column contains 'NBA' for NBA players.",,False
original_prompt,ground_truth_data,How many players were drafted in 2020?,SELECT COUNT(*) as draft_count FROM draft_history WHERE season = '2020' LIMIT 1,counting,[[60]],"```sql
SELECT COUNT(*) AS total_players_drafted
FROM players
WHERE draft_year = 2020;
```",,False
original_prompt,ground_truth_data,Which team has the newest arena?,SELECT t.full_name FROM team t JOIN team_details td ON t.id = td.team_id ORDER BY td.arena DESC LIMIT 1,detail,[['Philadelphia 76ers']],"To convert this question to SQL, I need to query a database that has information about teams and their arenas, specifically looking for the team with the most recently built or renovated arena.

```sql
SELECT team_name
FROM teams
JOIN arenas ON teams.arena_id = arenas.id
ORDER BY arenas.year_built DESC
LIMIT 1;
```

This query assumes:
1. There's a ""teams"" table with information about teams
2. There's an ""arenas"" table with information about arenas
3. The arenas table has a ""year_built"" column indicating when the arena was constructed
4. The tables are related via an arena_id foreign key

If the database structure is different, the query would need to be adjusted accordingly.",,False
